objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
45,64,42,3,563200,3,4.20036E+11,Block Group 3,G5030,S,315029,0,40.4572599,-79.9976543,11102.62869,30,6577919.5,80995.80627,39,2121,East Allegheny,26,151.705,0.236,1,57,3,14425.91062,6577919.63,15,Stephanie Joy Bermudo,e15457c5-efd5-46be-9723-a8571e32e6c6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:30,,6580347.741,14429.46389
46,178,42,3,562700,2,4.20036E+11,Block Group 2,G5030,S,535964,5234,40.4515765,-80.0053403,10563.7917,60,5840713,80995.80627,46,2128,Allegheny Center,1,134.703,0.21,1,19,3,10570.41483,5840713.265,15,Stephanie Joy Bermudo,beebd26a-d3ff-4214-987c-5d530e8dec63,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:12,,5831492.816,10563.79146
47,0,42,3,40500,1,4.2003E+11,Block Group 1,G5030,S,268195,0,40.4406805,-79.9542332,7988.379391,1,7843108,136797.9793,63,2145,Central Oakland,20,180.883,0.281,3,113,14,11526.86322,7843108.222,15,Ose Akinlotan,65e4f81f-d61f-4219-ad62-b4167006f5d6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:13,,7842996.642,11525.90455
48,181,42,3,270800,3,4.20033E+11,Block Group 3,G5030,S,633737,0,40.4865869,-80.0297229,13818.09763,61,31143860,80995.80627,4,2086,Brighton Heights,13,718.262,1.117,1,23,2,26060.68413,31143860.75,15,Stephanie Joy Bermudo,25b846aa-3931-493d-a3cb-f8bf638cd3fc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:57,,31151103.56,26096.44237
49,20,42,3,170600,1,4.20032E+11,Block Group 1,G5030,S,326725,0,40.4249025,-79.9876098,14495.7931,17,19973024,198927.4161,74,2156,South Side Slopes,73,460.632,0.716,4,6,7,26532.69971,19973023.11,15,Thomas Scharff,74096afd-885d-464c-abee-49aef0c9f890,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:35,,19973025.56,26531.35149
50,143,42,3,561600,2,4.20036E+11,Block Group 2,G5030,S,863468,0,40.4138332,-79.96327,22763.20386,51,13108599,198927.4161,82,2164,Arlington,4,302.32,0.47,4,57,7,27698.1212,13108599.13,15,Thomas Scharff,183f541a-9d7d-4455-a5b0-19e128eadda6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:32,,13110671.85,27697.84783
51,265,42,3,563000,4,4.20036E+11,Block Group 4,G5030,S,342793,0,40.4578183,-80.0705756,9978.225923,87,3683600.5,198927.4161,30,2112,Chartiers City,21,84.954,0.132,5,21,4,9983.549788,3683600.394,15,Thomas Scharff,95c77a59-4b19-4108-915d-a16263a45526,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:16,,3683819.826,9978.225999
52,74,42,3,290400,3,4.20033E+11,Block Group 3,G5030,S,275844,0,40.384419,-79.9867635,11617.58797,34,46641072,198927.4161,92,2174,Carrick,16,1075.67,1.673,4,19,5,40422.97432,46641073.97,15,Thomas Scharff,f3f50b28-b54f-478c-aafa-69820aeece79,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:04,,46640230.55,40404.4977
53,73,42,3,80200,2,4.20031E+11,Block Group 2,G5030,S,92307,0,40.4617308,-79.9522528,4036.163833,33,19572930,136797.9793,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.18969,19572929.54,15,Ose Akinlotan,dfd12465-ae1b-403c-a198-8d590aa69878,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:49,,19574104,21204.3229
54,122,42,3,202300,4,4.20032E+11,Block Group 4,G5030,S,835320,0,40.4127817,-80.0357088,11460.14913,48,27009770,198927.4161,80,2162,Banksville,6,622.919,0.969,5,19,5,25477.7457,27009770.52,15,Thomas Scharff,1dd2e34c-2b3b-439f-91cb-ce687beb75f2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:37,,27021857.65,25241.77715
55,45,42,3,180700,2,4.20032E+11,Block Group 2,G5030,S,128061,0,40.4247086,-80.0011285,5547.088804,24,31760998,198927.4161,65,2147,Mount Washington,54,732.495,1.139,5,25,6,33988.88227,31760998.04,15,Thomas Scharff,ccdebedb-cee5-42e2-8b82-428f6bea161e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:41,,31765256.75,34003.52491
56,37,42,3,130600,1,4.20031E+11,Block Group 1,G5030,S,365630,0,40.4521925,-79.8817225,8027.633926,22,15092615,136797.9793,42,2124,East Hills,28,348.077,0.541,2,6,11,22217.80451,15092615.35,15,Ose Akinlotan,e65da461-ecdf-4724-b35e-6fdd183e45e4,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:34,,15091463.34,22208.53334
57,15,42,3,981000,1,4.2004E+11,Block Group 1,G5030,S,1377043,0,40.4730821,-79.9488759,20578.37562,14,26848464,136797.9793,13,2095,Central Lawrenceville,18,619.199,0.963,2,24,13,25420.64937,26848463.38,15,Ose Akinlotan,c0bd233e-77e5-4cdf-9531-8504464b42e1,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:09,,26848138.88,25436.46664
58,32,42,3,562600,1,4.20036E+11,Block Group 1,G5030,S,512433,0,40.440883,-80.0357065,18778.99128,89,5579501,198927.4161,60,2142,West End,87,128.679,0.2,5,81,4,18776.65662,5579501.107,15,Thomas Scharff,97d8216d-e6b4-4f45-91ca-a6f1e33a5214,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:09,,5579476.019,18778.99151
59,358,42,3,562500,1,4.20036E+11,Block Group 1,G5030,S,602805,225010,40.4627464,-80.0508428,25245.49,85,6409852.5,198927.4161,25,2107,Esplen,31,147.829,0.23,5,81,4,25268.23256,6409852.247,15,Thomas Scharff,b5463ab9-a4b8-46d6-80ff-67976bea1766,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:46,,6425357.739,25260.81447
60,75,42,3,981100,1,4.2004E+11,Block Group 1,G5030,S,876833,0,40.4420424,-79.906331,14525.90163,35,27997334,136797.9793,54,2136,Point Breeze,63,645.695,1.004,3,6,10,25607.96919,27997334.38,15,Ose Akinlotan,da9e6bc6-0a88-450e-ae8d-c3a40f781a34,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:11,,27998896.31,25612.16361
61,34,42,3,562900,1,4.20036E+11,Block Group 1,G5030,S,1385581,586785,40.4096285,-79.9486102,29907.61127,20,44132028,136797.9793,77,2159,Hazelwood,39,1017.805,1.583,3,25,9,42041.44998,44132028.37,15,Ose Akinlotan,c30655c8-cf46-4785-88c0-33dc03480284,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:06,,44133946.49,42027.68843
62,3,42,3,30500,2,4.2003E+11,Block Group 2,G5030,S,284548,0,40.4403871,-79.9813476,8670.428122,4,7202139,136797.9793,57,2139,Crawford-Roberts,24,166.101,0.258,3,19,15,15696.75923,7202138.923,15,Ose Akinlotan,80e5d73b-e483-4d07-8535-f93c5377dd6b,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:24,,7203337.014,15697.91434
63,38,42,3,40900,3,4.2003E+11,Block Group 3,G5030,S,253498,0,40.4308074,-79.9518013,7343.082266,23,14169730,136797.9793,68,2150,South Oakland,70,326.793,0.508,3,19,14,19242.50311,14169729.78,15,Ose Akinlotan,7c98eb3c-13a8-4331-a0ce-fcbdbc947cfb,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:28,,14169560.97,19226.81952
64,338,42,3,50600,3,4.20031E+11,Block Group 3,G5030,S,287852,0,40.450723,-79.9591365,9240.995102,83,8722606,136797.9793,44,2126,Upper Hill,85,201.167,0.313,3,19,15,11867.51238,8722605.959,15,Ose Akinlotan,1f8d0b41-1f34-4e14-b538-0b52165ba0d0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:03,,8719958.847,11857.05806
65,298,42,3,563100,3,4.20036E+11,Block Group 3,G5030,S,928505,0,40.4270691,-80.0344802,16308.77975,88,10278895,198927.4161,70,2152,Ridgemont,67,237.059,0.369,5,24,4,16268.13089,10278895.23,15,Thomas Scharff,133807e7-25f7-439a-a375-a405f2f4f6d2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:22,,10279196.88,16308.24735
66,61,42,3,240600,2,4.20032E+11,Block Group 2,G5030,S,495750,0,40.4611811,-79.9859947,14534.3786,29,10717292,80995.80627,21,2103,Troy Hill,84,247.17,0.384,1,94,1,20630.79316,10717291.9,15,Stephanie Joy Bermudo,cef157ae-8465-4d17-a92d-6b967104215d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:02,,12838152.04,29607.52601
67,151,42,3,980700,1,4.2004E+11,Block Group 1,G5030,S,563109,416134,40.4366295,-80.0102703,21342.88101,55,5905659.5,198927.4161,59,2141,South Shore,71,136.201,0.212,5,19,16,21338.58047,5905659.67,15,Thomas Scharff,d5f7d36e-e24e-4a25-8235-4c8e98ad4440,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:31,,5903799.827,21342.94853
68,147,42,3,561700,2,4.20036E+11,Block Group 2,G5030,S,268306,0,40.410874,-79.9793742,7452.430225,53,2871538.2,198927.4161,87,2169,Mt. Oliver,53,66.226,0.103,4,18,7,7443.40029,2871538.432,15,Thomas Scharff,012c4b53-1895-4d57-a7d7-a6e89ff1d241,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:45,,2872019.743,7445.90072
69,57,42,3,250700,1,4.20033E+11,Block Group 1,G5030,S,560320,0,40.4599421,-80.0218657,11709.51881,90,6050988,80995.80627,29,2111,California-Kirkbride,15,139.552,0.217,1,25,3,11711.30125,6050987.839,15,Stephanie Joy Bermudo,2777139d-0808-4d42-9f1b-722586148225,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:01,,6050816.778,11709.51878
70,7,42,3,262000,1,4.20033E+11,Block Group 1,G5030,S,607576,0,40.4632158,-79.994168,12055.42615,7,17550592,80995.80627,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.81989,17550591.77,15,Stephanie Joy Bermudo,5550547f-575f-40b0-b045-d8d3fd628bca,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:40,,17549348.47,18197.74574
71,149,42,3,202200,3,4.20032E+11,Block Group 3,G5030,S,174657,0,40.4580322,-80.0647449,7204.28883,54,24807354,198927.4161,32,2114,Sheraden,69,572.125,0.89,5,19,4,24066.42043,24807353.4,15,Thomas Scharff,4d9a985e-bab6-4a81-8814-c5a1eb749f19,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:26,,24791648.76,24066.0372
72,71,42,3,101800,2,4.20031E+11,Block Group 2,G5030,S,797007,0,40.4847864,-79.9385823,22835.10864,31,20492582,136797.9793,8,2090,Stanton Heights,79,472.615,0.735,2,19,13,24387.81861,20492582.63,15,Ose Akinlotan,5f8e6a28-d7ca-40a7-b56e-f419cbedf034,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:46,,20492989.59,24392.31883
73,97,42,3,191600,3,4.20032E+11,Block Group 3,G5030,S,170636,0,40.4126628,-80.0211465,8417.875608,42,40706528,198927.4161,73,2155,Beechview,8,938.804,1.46,5,23,5,32676.17001,40706529.25,15,Thomas Scharff,5f560b22-ffcc-4d10-ac52-3b39c857ec89,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:43,,40708813.75,32690.82807
74,146,42,3,561700,1,4.20036E+11,Block Group 1,G5030,S,807397,0,40.4088032,-79.9721874,12303.6007,52,8640989,198927.4161,88,2170,St. Clair,78,199.285,0.31,4,23,7,12308.21854,8640989.257,15,Thomas Scharff,ac5b7e7f-873c-43a5-8824-30d206a31aca,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:48,,8641804.523,12276.98508
75,201,42,3,980600,1,4.2004E+11,Block Group 1,G5030,S,982752,473795,40.4518148,-80.0280506,19600.68312,64,10688264,80995.80627,35,2117,Chateau,22,246.501,0.383,1,113,3,19607.97613,10688263.84,15,Stephanie Joy Bermudo,b685a912-54de-4e6c-8b17-9128949d51bc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:18,,10687956.97,19600.57308
76,167,42,3,70900,2,4.20031E+11,Block Group 2,G5030,S,136793,0,40.4510923,-79.9473004,5126.461434,58,25673624,136797.9793,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4623,25673625.06,15,Ose Akinlotan,08cfd3ac-e8f8-4d3d-86fc-534367f67428,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:24,,25673092.72,25089.46474
77,10,42,3,261200,1,4.20033E+11,Block Group 1,G5030,S,1057787,0,40.4922173,-80.0081121,20906.8295,9,12232021,80995.80627,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.93441,12232020.3,15,Stephanie Joy Bermudo,4befade5-a016-4fa2-be19-5c89a8d15d0b,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:54,,11332077.93,21174.47333
78,2,42,3,40200,2,4.2003E+11,Block Group 2,G5030,S,282679,0,40.4412437,-79.9626107,8260.915502,3,5999801.5,136797.9793,62,2144,West Oakland,88,138.372,0.215,3,21,14,18271.42639,5999801.026,15,Ose Akinlotan,94b8a7c9-e11f-451b-8497-2599b201472e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:11,,5998648.886,18280.48337
79,123,42,3,563000,2,4.20036E+11,Block Group 2,G5030,S,574770,0,40.4597668,-80.07783,10840.37313,49,11563175,198927.4161,26,2108,Windgap,90,266.678,0.415,5,6,4,20989.23867,11563174.92,15,Thomas Scharff,f609f531-3c00-4791-827e-417ca99b4f94,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:15,,11561248.18,20988.2187
80,59,42,3,241200,2,4.20032E+11,Block Group 2,G5030,S,172183,0,40.4600565,-79.9915198,7283.454921,28,7653279.5,80995.80627,15,2097,Spring Garden,74,176.506,0.275,1,18,1,21452.69188,7653278.967,15,Stephanie Joy Bermudo,5fc29202-a6fa-4de4-bb84-3ab76948246a,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:38,,7656110.674,21431.62621
81,54,42,3,141400,3,4.20031E+11,Block Group 3,G5030,S,294702,0,40.4266034,-79.9185733,8635.64213,26,74470128,136797.9793,64,2146,Squirrel Hill South,77,1717.485,2.671,3,23,10,50122.6511,74470126.27,15,Ose Akinlotan,03acfeaa-1190-41a6-861a-fa8a3608303f,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:45,,74472403.01,50282.01897
82,5,42,3,20300,1,4.2003E+11,Block Group 1,G5030,S,1593129,329216,40.4544996,-79.9812762,24019.53286,5,16947852,136797.9793,28,2110,Strip District,80,390.864,0.608,1,23,13,23903.07785,16947852.97,15,Ose Akinlotan,5e353b5c-a9d4-4b0a-a1aa-31d3bf847639,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:50,,16948729.09,24019.52596
83,83,42,3,141100,1,4.20031E+11,Block Group 1,G5030,S,1226338,163168,40.4196414,-79.9075532,20791.54447,37,13379806,136797.9793,79,2161,Swisshelm Park,82,308.575,0.48,3,57,10,20826.31923,13379806.34,15,Ose Akinlotan,bf45c180-f5c3-4f36-832a-183412108101,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:56,,13379301.16,20794.44032
84,8,42,3,261500,1,4.20033E+11,Block Group 1,G5030,S,350522,0,40.4733966,-80.0097343,8208.50481,8,25220622,80995.80627,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.69853,25220621.17,15,Stephanie Joy Bermudo,7a61f76c-ac3a-4c10-95e1-96a19d799108,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:04,,25224200.97,26390.54931
85,93,42,3,101100,3,4.20031E+11,Block Group 3,G5030,S,249635,0,40.4818107,-79.9477736,10342.01776,41,11288746,136797.9793,7,2089,Upper Lawrenceville,86,260.349,0.405,2,57,13,19192.7839,11288745.63,15,Ose Akinlotan,157cd4d5-485c-4a3d-808f-df4b489f95dc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:05,,11290028.67,19198.86382
86,215,42,3,141000,1,4.20031E+11,Block Group 1,G5030,S,507903,0,40.4328896,-79.8976172,16004.73435,69,5362860,136797.9793,69,2151,Regent Square,66,123.682,0.192,3,19,10,15999.77786,5362859.972,15,Ose Akinlotan,93ce438e-e3ec-410d-a7fd-619646e25dc3,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:20,,5362506,16007.50898
87,211,42,3,51100,1,4.20031E+11,Block Group 1,G5030,S,183645,0,40.4416579,-79.9764621,6208.941405,67,9529806,136797.9793,56,2138,Terrace Village,83,219.783,0.342,3,94,15,19562.57807,9529806.364,15,Ose Akinlotan,2858633a-175e-459b-a4c9-9aac92bfe033,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:58,,9519744.51,19569.10283
88,153,42,3,562600,2,4.20036E+11,Block Group 2,G5030,S,579141,0,40.4400199,-80.0409711,11480.14,57,16904768,198927.4161,50,2132,Elliott,30,389.87,0.606,5,25,4,21609.79934,16904767.62,15,Thomas Scharff,fbc3ab11-0429-476e-80fd-700f969b204a,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:44,,16906458.72,21634.55882
89,16,42,3,170200,1,4.20032E+11,Block Group 1,G5030,S,406640,81747,40.4302576,-79.9922422,12037.89946,15,26083320,198927.4161,72,2154,South Side Flats,72,601.553,0.936,4,81,7,34676.3551,26083318.97,15,Thomas Scharff,39308990-70d5-4da6-b2a0-a5510f18e9b9,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:33,,26082183,34676.15132
90,31,42,3,250900,2,4.20033E+11,Block Group 2,G5030,S,384629,0,40.464157,-80.0039415,13652.21471,19,6958774,80995.80627,24,2106,Fineview,33,160.488,0.25,1,81,3,12677.5559,6958774.071,15,Stephanie Joy Bermudo,c4f5d2e1-bcd6-4207-bdea-1c369a80ba1d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:50,,6962440.081,12620.54903
